id,name,value,avg_revenue,avg_bills,industry
7648,Arimed,1889854.62,629951.54,535458.81,Other Services
7649,Color Nails Bar,4787846.99,1595949.0,1356556.65,Retail
7650,H&H Bagels,3534837.91,1178279.3,1001537.41,Accommodations/Food
7651,Penelope,3534837.91,1178279.3,1001537.41,Accommodations/Food
7652,7 Beans Coffee Shop & Pastry,3534837.91,1178279.3,1001537.41,Accommodations/Food
7653,Hoy Yao Mini Store Inc.,4787846.99,1595949.0,1356556.65,Retail
7654,LavashUzN1,3534837.91,1178279.3,1001537.41,Accommodations/Food
7655,Mtskheta Georgian Food Market,4787846.99,1595949.0,1356556.65,Retail
7656,Smart Choice Pharmacy,5268371.04,1756123.68,1492705.13,Health/Social
7657,Frutas Locas,3534837.91,1178279.3,1001537.41,Accommodations/Food
7658,X-Stop Barber Shop,1889854.62,629951.54,535458.81,Other Services
7659,Fruit & Vegetable Brothers,4787846.99,1595949.0,1356556.65,Retail
7660,And Discount Store,4787846.99,1595949.0,1356556.65,Retail
7661,Knapp Pizza II,3534837.91,1178279.3,1001537.41,Accommodations/Food
7662,Tryker's,4787846.99,1595949.0,1356556.65,Retail
7663,Rx Pharmacy Light,5268371.04,1756123.68,1492705.13,Health/Social
7664,Protek computer repairs,4787846.99,1595949.0,1356556.65,Retail
7665,Marlboro Discount Liquors,4787846.99,1595949.0,1356556.65,Retail
7666,S&W Grocery,4787846.99,1595949.0,1356556.65,Retail
7667,New First Cook,3534837.91,1178279.3,1001537.41,Accommodations/Food
7668,Stillwell Mega Wash,4787846.99,1595949.0,1356556.65,Retail
7669,Marlboro Drugs,5268371.04,1756123.68,1492705.13,Health/Social
7670,J&L 99¢ & Up,4787846.99,1595949.0,1356556.65,Retail
7671,Closet Butler,4787846.99,1595949.0,1356556.65,Retail
7672,N & D Pizza,3534837.91,1178279.3,1001537.41,Accommodations/Food
7673,Wild Bagels,3534837.91,1178279.3,1001537.41,Accommodations/Food
7674,Brother’s Bakery Cafe,4787846.99,1595949.0,1356556.65,Retail
7675,Milestone Pediatrics,5268371.04,1756123.68,1492705.13,Health/Social
7676,Milestone Medicine,5268371.04,1756123.68,1492705.13,Health/Social
7677,Kung Fu Tea,3534837.91,1178279.3,1001537.41,Accommodations/Food
7678,Sedapsss Fusion Cuisine,3534837.91,1178279.3,1001537.41,Accommodations/Food
7679,Asian Kitchen,3534837.91,1178279.3,1001537.41,Accommodations/Food
7680,Little Saigon Pearl,3534837.91,1178279.3,1001537.41,Accommodations/Food
7681,Cafe Lounge,3534837.91,1178279.3,1001537.41,Accommodations/Food
7682,Cherry Hill Gourmet Market,4787846.99,1595949.0,1356556.65,Retail
7683,Luba's,1889854.62,629951.54,535458.81,Other Services
7684,Northfield Bank,16545067.6,5515022.53,4687769.15,Finance/Insurance
7685,Gourmet Deli & Grill,4787846.99,1595949.0,1356556.65,Retail
7686,Raz Convenience,1889854.62,629951.54,535458.81,Other Services
7687,Karen Sabag,4787846.99,1595949.0,1356556.65,Retail
7688,Bennaton Tile Imports,1889854.62,629951.54,535458.81,Other Services
7689,Ziani,4787846.99,1595949.0,1356556.65,Retail
7690,Next Move Cafe,3534837.91,1178279.3,1001537.41,Accommodations/Food
7691,Bay Ridge Sign,4787846.99,1595949.0,1356556.65,Retail
7692,Public School 682,5646284.96,1882094.99,1599780.74,Education
7693,A&I Discount,4787846.99,1595949.0,1356556.65,Retail
7694,Unique Wireless,4787846.99,1595949.0,1356556.65,Retail
7695,J San Sushi,3534837.91,1178279.3,1001537.41,Accommodations/Food
7696,Nataly's Flowers,4787846.99,1595949.0,1356556.65,Retail
7697,Sam City Barber Shop,1889854.62,629951.54,535458.81,Other Services
7698,Maggie Bakery Inc,4787846.99,1595949.0,1356556.65,Retail
7699,J & R Hair Salon,1889854.62,629951.54,535458.81,Other Services
7700,Aurora Pizza,3534837.91,1178279.3,1001537.41,Accommodations/Food
7701,Em Vietnamese Kitchen,3534837.91,1178279.3,1001537.41,Accommodations/Food
7702,Koo Koo Chicken,3534837.91,1178279.3,1001537.41,Accommodations/Food
7703,Sal's Barber Shop,1889854.62,629951.54,535458.81,Other Services
7704,First Class Barnershop,1889854.62,629951.54,535458.81,Other Services
7705,European Exchange Inc.,4787846.99,1595949.0,1356556.65,Retail
7706,Deli Heights,4787846.99,1595949.0,1356556.65,Retail
7707,Tienda Guatamalteca,4787846.99,1595949.0,1356556.65,Retail
7708,TMB Services,4787846.99,1595949.0,1356556.65,Retail
7709,Nu Deli & Grill,4787846.99,1595949.0,1356556.65,Retail
7710,D&S Bakery,4787846.99,1595949.0,1356556.65,Retail
7711,Elegant Barber Shop,1889854.62,629951.54,535458.81,Other Services
7712,Kings Express Deli & Grocery,4787846.99,1595949.0,1356556.65,Retail
7713,Loud,1889854.62,629951.54,535458.81,Other Services
7714,Liquor & Wine On P,4787846.99,1595949.0,1356556.65,Retail
7715,Dahill Funeral Home,1889854.62,629951.54,535458.81,Other Services
7716,99 Cents & Up,4787846.99,1595949.0,1356556.65,Retail
7717,Laghman Express,3534837.91,1178279.3,1001537.41,Accommodations/Food
7718,Maison Valero,4787846.99,1595949.0,1356556.65,Retail
7719,18th Ave Deli Grocery,4787846.99,1595949.0,1356556.65,Retail
7720,A Little Bit of Something,1889854.62,629951.54,535458.81,Other Services
7721,No 7 Grocery,4787846.99,1595949.0,1356556.65,Retail
7722,J & V PIZZA,3534837.91,1178279.3,1001537.41,Accommodations/Food
7723,Mittelman's,4787846.99,1595949.0,1356556.65,Retail
7724,Einhorn's,4787846.99,1595949.0,1356556.65,Retail
7725,Le French Tart Deli,4787846.99,1595949.0,1356556.65,Retail
7726,Yi Poh Kitchen,3534837.91,1178279.3,1001537.41,Accommodations/Food
7727,New 1 Hair Salon,1889854.62,629951.54,535458.81,Other Services
7728,Elle Esthetics,4787846.99,1595949.0,1356556.65,Retail
7729,AM-PM Cafe & Bar,3534837.91,1178279.3,1001537.41,Accommodations/Food
7730,A+ Academy SHSAT SAT,1889854.62,629951.54,535458.81,Other Services
7731,Tan Nails,4787846.99,1595949.0,1356556.65,Retail
7732,Discount Wine & Liquors,4787846.99,1595949.0,1356556.65,Retail
7733,Oh! Nuts,4787846.99,1595949.0,1356556.65,Retail
7734,Landau's Health Tree,1889854.62,629951.54,535458.81,Other Services
7735,Milk Crate Coffee,3534837.91,1178279.3,1001537.41,Accommodations/Food
7736,Candy Man,4787846.99,1595949.0,1356556.65,Retail
7737,Karpathian Corp.,4787846.99,1595949.0,1356556.65,Retail
7738,Mr Q BBQ,3534837.91,1178279.3,1001537.41,Accommodations/Food
7739,Peng Cheng Trading INC,4787846.99,1595949.0,1356556.65,Retail
7740,Healthy Family Pharmacy,5268371.04,1756123.68,1492705.13,Health/Social
7741,Tengu Sushi & Noodle,3534837.91,1178279.3,1001537.41,Accommodations/Food
7742,Jade Bakery,4787846.99,1595949.0,1356556.65,Retail
7743,MK Vision Center,4787846.99,1595949.0,1356556.65,Retail
7744,KULU Desserts,3534837.91,1178279.3,1001537.41,Accommodations/Food
7745,Nuan Xin Rice Roll,3534837.91,1178279.3,1001537.41,Accommodations/Food
7746,JZ Laundromat,4787846.99,1595949.0,1356556.65,Retail
7747,Baker Wah,4787846.99,1595949.0,1356556.65,Retail
7748,Fei Long Market,4787846.99,1595949.0,1356556.65,Retail
7749,88 Fresh Vegetable Market Inc.,4787846.99,1595949.0,1356556.65,Retail
7750,43 Liquors,4787846.99,1595949.0,1356556.65,Retail
7751,Great Taste Dumpling,3534837.91,1178279.3,1001537.41,Accommodations/Food
7752,Red Parrot Bar,3534837.91,1178279.3,1001537.41,Accommodations/Food
7753,Bartolome Deli and Restaurant,4787846.99,1595949.0,1356556.65,Retail
7754,New Fu Xing Market II Corp,4787846.99,1595949.0,1356556.65,Retail
7755,45th Street Supermarket Inc.,4787846.99,1595949.0,1356556.65,Retail
7756,La Carreta,3534837.91,1178279.3,1001537.41,Accommodations/Food
7757,Macareno Mini Market,4787846.99,1595949.0,1356556.65,Retail
7758,Wireless & Repair,4787846.99,1595949.0,1356556.65,Retail
7759,Martha Jewelry,4787846.99,1595949.0,1356556.65,Retail
7760,El Neuvo Pueblo,4787846.99,1595949.0,1356556.65,Retail
7761,El Castillo del Sabor Bakery,4787846.99,1595949.0,1356556.65,Retail
7762,Angel Nail,4787846.99,1595949.0,1356556.65,Retail
7763,Italian Gold Jewelry,4787846.99,1595949.0,1356556.65,Retail
7764,Pamela Unisex,1889854.62,629951.54,535458.81,Other Services
7765,El Sabor de la Vida,3534837.91,1178279.3,1001537.41,Accommodations/Food
7766,Juan’s Barber Shop,1889854.62,629951.54,535458.81,Other Services
7767,Chuan Tian Xia,3534837.91,1178279.3,1001537.41,Accommodations/Food
7768,AZY Deli & Grill,4787846.99,1595949.0,1356556.65,Retail
7769,S&A Superstore,4787846.99,1595949.0,1356556.65,Retail
7770,Cafe Con Pan,4787846.99,1595949.0,1356556.65,Retail
7771,La Vida,4787846.99,1595949.0,1356556.65,Retail
7772,El Buen Gusto Grocery,4787846.99,1595949.0,1356556.65,Retail
7773,Barrera's,3534837.91,1178279.3,1001537.41,Accommodations/Food
7774,Canal Jewelry of Brooklyn,4787846.99,1595949.0,1356556.65,Retail
7775,Angel's World,4787846.99,1595949.0,1356556.65,Retail
7776,Bonito Sports,4787846.99,1595949.0,1356556.65,Retail
7777,PC Max Solutions,4787846.99,1595949.0,1356556.65,Retail
7778,Tenda y Comedor Andreita,3534837.91,1178279.3,1001537.41,Accommodations/Food
7779,Fifth Avenue Liquors,4787846.99,1595949.0,1356556.65,Retail
7780,Sunny Star Grocery,4787846.99,1595949.0,1356556.65,Retail
7781,Plaza Xochimilco,4787846.99,1595949.0,1356556.65,Retail
7782,United Barbershop,1889854.62,629951.54,535458.81,Other Services
7783,NYC Optical,4787846.99,1595949.0,1356556.65,Retail
7784,New Golden Palace Jewelry,4787846.99,1595949.0,1356556.65,Retail
7785,Botantical Top 99,4787846.99,1595949.0,1356556.65,Retail
7786,Alter Ego,1889854.62,629951.54,535458.81,Other Services
7787,Mudflow Bubble Tea,3534837.91,1178279.3,1001537.41,Accommodations/Food
7788,A.M Pharmacy,5268371.04,1756123.68,1492705.13,Health/Social
7789,Ai Hua Pharmacy,1889854.62,629951.54,535458.81,Other Services
7790,Kelly's Pharmacy,1889854.62,629951.54,535458.81,Other Services
7791,Little Thanh Da,3534837.91,1178279.3,1001537.41,Accommodations/Food
7792,Eye Solutions,4787846.99,1595949.0,1356556.65,Retail
7793,VIP Kings Bakery,4787846.99,1595949.0,1356556.65,Retail
7794,Chun Yang,3534837.91,1178279.3,1001537.41,Accommodations/Food
7795,Pure Joy Laundromat,4787846.99,1595949.0,1356556.65,Retail
7796,Wu La Bu Huan,3534837.91,1178279.3,1001537.41,Accommodations/Food
7797,Riviera Dry Cleaners & Tailor Shop,1889854.62,629951.54,535458.81,Other Services
7798,Y-J Fashion,4787846.99,1595949.0,1356556.65,Retail
7799,Brothers Grocery,4787846.99,1595949.0,1356556.65,Retail
7800,WesternYunnan Crossing Bridge Noodle,3534837.91,1178279.3,1001537.41,Accommodations/Food
7801,86 Optical,4787846.99,1595949.0,1356556.65,Retail
7802,Great Forest Food,3534837.91,1178279.3,1001537.41,Accommodations/Food
7803,Tesolife,4787846.99,1595949.0,1356556.65,Retail
7804,J2 Pharmacy,5268371.04,1756123.68,1492705.13,Health/Social
7805,Mexihcah Tattoos,1889854.62,629951.54,535458.81,Other Services
7806,Park Asia,3534837.91,1178279.3,1001537.41,Accommodations/Food
7807,Mary's Unisex Beauty Salon,1889854.62,629951.54,535458.81,Other Services
7808,Los Globos,1889854.62,629951.54,535458.81,Other Services
7809,Sunset Park Cycle Shop,4787846.99,1595949.0,1356556.65,Retail
7810,Panderia La Hacienda,4787846.99,1595949.0,1356556.65,Retail
7811,Sky Bike Technology,1889854.62,629951.54,535458.81,Other Services
7812,Xiao Le Yuan Bakery,4787846.99,1595949.0,1356556.65,Retail
7813,Summer Nail,4787846.99,1595949.0,1356556.65,Retail
7814,Hawaiian Fried Wings,3534837.91,1178279.3,1001537.41,Accommodations/Food
7815,La Espiga Real,4787846.99,1595949.0,1356556.65,Retail
7816,Green Village Supermarket,4787846.99,1595949.0,1356556.65,Retail
7817,OD's Restaurant,3534837.91,1178279.3,1001537.41,Accommodations/Food
7818,Stop I Deli,4787846.99,1595949.0,1356556.65,Retail
7819,El Padrino Deli & Grocery,4787846.99,1595949.0,1356556.65,Retail
7820,Aden Deli & Grocery,4787846.99,1595949.0,1356556.65,Retail
7821,Nora's Fashion,4787846.99,1595949.0,1356556.65,Retail
7822,61st Medical Dental Office,5268371.04,1756123.68,1492705.13,Health/Social
7823,Arish Barber Shop,1889854.62,629951.54,535458.81,Other Services
7824,GiGi's Coffee Shop,3534837.91,1178279.3,1001537.41,Accommodations/Food
7825,Tlaxcalita La Bella,1889854.62,629951.54,535458.81,Other Services
7826,Hair Passion,1889854.62,629951.54,535458.81,Other Services
7827,Jie Mei Laundromat,4787846.99,1595949.0,1356556.65,Retail
7828,Kenby Pharmacy,1889854.62,629951.54,535458.81,Other Services
7829,Los Compadres Grocery,4787846.99,1595949.0,1356556.65,Retail
7830,Lin Feng Trading,4787846.99,1595949.0,1356556.65,Retail
7831,Kensington Ceramics,1889854.62,629951.54,535458.81,Other Services
7832,Feeney's Pub,3534837.91,1178279.3,1001537.41,Accommodations/Food
7833,Last Stop Fresh,4787846.99,1595949.0,1356556.65,Retail
7834,Prime Auto Parts,1889854.62,629951.54,535458.81,Other Services
7835,New Generation Auto Parts Warehouse,1889854.62,629951.54,535458.81,Other Services
7836,Los Primos Tire Shop,4787846.99,1595949.0,1356556.65,Retail
7837,Perez Grocery,4787846.99,1595949.0,1356556.65,Retail
7838,Sunrise Family Pharmacy,1889854.62,629951.54,535458.81,Other Services
7839,The Grumpy Cat,3534837.91,1178279.3,1001537.41,Accommodations/Food
7840,Shoprite Gourmet Deli,4787846.99,1595949.0,1356556.65,Retail
7841,Rosas Bakery,4787846.99,1595949.0,1356556.65,Retail
7842,Vendsor Store,4787846.99,1595949.0,1356556.65,Retail
7843,Barber Shop 56,1889854.62,629951.54,535458.81,Other Services
7844,Hola Deli Grocery,4787846.99,1595949.0,1356556.65,Retail
7845,China I,3534837.91,1178279.3,1001537.41,Accommodations/Food
7846,Downtown Newsstand,4787846.99,1595949.0,1356556.65,Retail
7847,Chimi Corner,4787846.99,1595949.0,1356556.65,Retail
7848,Xallitic Tattoo Studio,1889854.62,629951.54,535458.81,Other Services
7849,Xiara Beauty Salon,4787846.99,1595949.0,1356556.65,Retail
7850,Fanny Hair Salon,1889854.62,629951.54,535458.81,Other Services
7851,Estrellla Hardware,4787846.99,1595949.0,1356556.65,Retail
7852,Stomp,4787846.99,1595949.0,1356556.65,Retail
7853,Blue Moon Deli & More,4787846.99,1595949.0,1356556.65,Retail
7854,Novedades Mexicana's,4787846.99,1595949.0,1356556.65,Retail
7855,Judith Beauty Salon,1889854.62,629951.54,535458.81,Other Services
7856,Sabrosa Deli & More,4787846.99,1595949.0,1356556.65,Retail
7857,4th Avenue Pharmacy,1889854.62,629951.54,535458.81,Other Services
7858,Lutheran Pharmacy,5268371.04,1756123.68,1492705.13,Health/Social
7859,Automotriz,4787846.99,1595949.0,1356556.65,Retail
7860,HY Print N Ship,1889854.62,629951.54,535458.81,Other Services
7861,Charlys Appliances,1889854.62,629951.54,535458.81,Other Services
7862,Mendez Deli Grill,4787846.99,1595949.0,1356556.65,Retail
7863,Usuluteco #3 Restaurant,3534837.91,1178279.3,1001537.41,Accommodations/Food
7864,Lucky Dragon Laundromat,4787846.99,1595949.0,1356556.65,Retail
7865,Peace & Love Deli Grill,4787846.99,1595949.0,1356556.65,Retail
7866,New Nan Fonghong Trading,1889854.62,629951.54,535458.81,Other Services
7867,Genesis of Brooklyn Service & Parts,4787846.99,1595949.0,1356556.65,Retail
7868,Wall Systems Supply,1889854.62,629951.54,535458.81,Other Services
7869,Ciot,1889854.62,629951.54,535458.81,Other Services
7870,Sunset Self-Storage,1889854.62,629951.54,535458.81,Other Services
7871,Alex Collision & Auto Repair,4787846.99,1595949.0,1356556.65,Retail
7872,A 1st Stop Auto Repair,4787846.99,1595949.0,1356556.65,Retail
7873,Sunset Pizza,3534837.91,1178279.3,1001537.41,Accommodations/Food
7874,Twist,3534837.91,1178279.3,1001537.41,Accommodations/Food
7875,Lucky 99¢ & Up,4787846.99,1595949.0,1356556.65,Retail
7876,Cordoba Deli & Grocery,4787846.99,1595949.0,1356556.65,Retail
7877,El Tahur,3534837.91,1178279.3,1001537.41,Accommodations/Food
7878,Leader Halal Meat,4787846.99,1595949.0,1356556.65,Retail
7879,United Care Pharmacy,5268371.04,1756123.68,1492705.13,Health/Social
7880,J.U.S. 99¢ & Up,4787846.99,1595949.0,1356556.65,Retail
7881,Fiesta Pop,1889854.62,629951.54,535458.81,Other Services
7882,Atlantic Travel,1889854.62,629951.54,535458.81,Other Services
7883,Bontanica 7 Potencias Santa Teresita,1889854.62,629951.54,535458.81,Other Services
7884,New King Wok,3534837.91,1178279.3,1001537.41,Accommodations/Food
7885,Sabor de Columbia,3534837.91,1178279.3,1001537.41,Accommodations/Food
7886,Metropolitan Express,1889854.62,629951.54,535458.81,Other Services
7887,Sergio’s Wine & Liquors,4787846.99,1595949.0,1356556.65,Retail
7888,Sam Cellular,4787846.99,1595949.0,1356556.65,Retail
7889,Barber Shop Tlaxcala,1889854.62,629951.54,535458.81,Other Services
7890,Hua Hui Bakery,4787846.99,1595949.0,1356556.65,Retail
7891,Popular,16545067.6,5515022.53,4687769.15,Finance/Insurance
7892,New Star Tobacco,4787846.99,1595949.0,1356556.65,Retail
7893,Topp’s Grocery & Newsstand,4787846.99,1595949.0,1356556.65,Retail
7894,Pro Audio DJ & Electronics,4787846.99,1595949.0,1356556.65,Retail
7895,SmartPrint,1889854.62,629951.54,535458.81,Other Services
7896,Cyndi's Party & Decorations,1889854.62,629951.54,535458.81,Other Services
7897,Rico Pollo III,3534837.91,1178279.3,1001537.41,Accommodations/Food
7898,Botanica San Miguel & Anaisa,1889854.62,629951.54,535458.81,Other Services
7899,Tortilleria La Malinche,4787846.99,1595949.0,1356556.65,Retail
7900,La Tienda #2,3534837.91,1178279.3,1001537.41,Accommodations/Food
7901,Sunset Market,4787846.99,1595949.0,1356556.65,Retail
7902,El Rancho Nuevo Supermarket,4787846.99,1595949.0,1356556.65,Retail
7903,VLS Pharmacy,1889854.62,629951.54,535458.81,Other Services
7904,My Little Angel,4787846.99,1595949.0,1356556.65,Retail
7905,Dulce Imagen,4787846.99,1595949.0,1356556.65,Retail
7906,Cuba Gold & Diamonds VVS,4787846.99,1595949.0,1356556.65,Retail
7907,Florería El Jarocho,4787846.99,1595949.0,1356556.65,Retail
7908,Yafa Deli,4787846.99,1595949.0,1356556.65,Retail
7909,Great Wall Restaurant,3534837.91,1178279.3,1001537.41,Accommodations/Food
7910,Juan Barber Shop,1889854.62,629951.54,535458.81,Other Services
7911,New Sunset Deli,4787846.99,1595949.0,1356556.65,Retail
7912,Los Tres Potrillos,3534837.91,1178279.3,1001537.41,Accommodations/Food
7913,Sunset Video,1889854.62,629951.54,535458.81,Other Services
7914,952 Food Corp,4787846.99,1595949.0,1356556.65,Retail
7915,Inés Bakery,4787846.99,1595949.0,1356556.65,Retail
7916,Meaningful Flowers,4787846.99,1595949.0,1356556.65,Retail
7917,42 Convenience and More,4787846.99,1595949.0,1356556.65,Retail
7918,Tacos El Bronco,3534837.91,1178279.3,1001537.41,Accommodations/Food
7919,Friends Tire Shop,4787846.99,1595949.0,1356556.65,Retail
7920,Axzo Cafe,3534837.91,1178279.3,1001537.41,Accommodations/Food
7921,Sewing by Liz,1889854.62,629951.54,535458.81,Other Services
7922,34 New York Finest Deli,4787846.99,1595949.0,1356556.65,Retail
7923,Reine de la Nube,3534837.91,1178279.3,1001537.41,Accommodations/Food
7924,UMK Brooklyn Grocery,4787846.99,1595949.0,1356556.65,Retail
7925,La Familia,3534837.91,1178279.3,1001537.41,Accommodations/Food
7926,Bagel Pub,3534837.91,1178279.3,1001537.41,Accommodations/Food
7927,Roundabout Restaurant,3534837.91,1178279.3,1001537.41,Accommodations/Food
7928,Chino's Tire Shop,4787846.99,1595949.0,1356556.65,Retail
7929,McDonald Paper Restaurant Supplies,1889854.62,629951.54,535458.81,Other Services
7930,I.S. 136 Charles O. Dewey,5646284.96,1882094.99,1599780.74,Education
7931,On The Rocks Beer House,4787846.99,1595949.0,1356556.65,Retail
7932,Ayat,3534837.91,1178279.3,1001537.41,Accommodations/Food
7933,Safety With Us,1889854.62,629951.54,535458.81,Other Services
7934,Market Coffee,3534837.91,1178279.3,1001537.41,Accommodations/Food
7935,Cafe & Deli La Morena,3534837.91,1178279.3,1001537.41,Accommodations/Food
7936,FG NY Trading Company,1889854.62,629951.54,535458.81,Other Services
7937,Prospect Auto Glass,4787846.99,1595949.0,1356556.65,Retail
7938,Third Ave. Pizza Place,3534837.91,1178279.3,1001537.41,Accommodations/Food
7939,33rd Street Laundromat,4787846.99,1595949.0,1356556.65,Retail
7940,Safety King,1889854.62,629951.54,535458.81,Other Services
7941,40 St Deli & Grill,4787846.99,1595949.0,1356556.65,Retail
7942,A-Town Pharmacy,5268371.04,1756123.68,1492705.13,Health/Social
7943,Kang Yi,4787846.99,1595949.0,1356556.65,Retail
7944,Islamic International Funeral Services,1889854.62,629951.54,535458.81,Other Services
7945,El Pollo Peruviano II,3534837.91,1178279.3,1001537.41,Accommodations/Food
7946,Aca Accessories,4787846.99,1595949.0,1356556.65,Retail
7947,Daniel J Schaefer Funeral Home,1889854.62,629951.54,535458.81,Other Services
7948,King Deli & Grill,4787846.99,1595949.0,1356556.65,Retail
7949,Enjoy My Bagels,4787846.99,1595949.0,1356556.65,Retail
7950,Huracheria Mexicana,4787846.99,1595949.0,1356556.65,Retail
7951,Gourmet Deli Grocery,4787846.99,1595949.0,1356556.65,Retail
7952,F.R.G. Barbershop,1889854.62,629951.54,535458.81,Other Services
7953,PL International Salon,1889854.62,629951.54,535458.81,Other Services
7954,MB Vicky Form,4787846.99,1595949.0,1356556.65,Retail
7955,Parlay,3534837.91,1178279.3,1001537.41,Accommodations/Food
7956,N D Laundromat,4787846.99,1595949.0,1356556.65,Retail
7957,Kings Fort Hamilton Tires & Rims,4787846.99,1595949.0,1356556.65,Retail
7958,Shashlik House,3534837.91,1178279.3,1001537.41,Accommodations/Food
7959,Yeyo Food Corp,4787846.99,1595949.0,1356556.65,Retail
7960,Dahill Laundry,4787846.99,1595949.0,1356556.65,Retail
7961,Bismillah,4787846.99,1595949.0,1356556.65,Retail
7962,Amishapara Bazar,4787846.99,1595949.0,1356556.65,Retail
7963,Punctual Auto Center,4787846.99,1595949.0,1356556.65,Retail
7964,Rashman Fashion,4787846.99,1595949.0,1356556.65,Retail
7965,Food Mart,4787846.99,1595949.0,1356556.65,Retail
7966,Dahill Pharmacy,5268371.04,1756123.68,1492705.13,Health/Social
7967,Modern Propane,1889854.62,629951.54,535458.81,Other Services
7968,Albemarle Food Center,4787846.99,1595949.0,1356556.65,Retail
7969,Yummy Taco,3534837.91,1178279.3,1001537.41,Accommodations/Food
7970,Wing Hau II,3534837.91,1178279.3,1001537.41,Accommodations/Food
7971,Magic Deli & Grocery,4787846.99,1595949.0,1356556.65,Retail
7972,DJ Jewelry,4787846.99,1595949.0,1356556.65,Retail
7973,MF Discount,4787846.99,1595949.0,1356556.65,Retail
7974,Real Polish Delicatessen,4787846.99,1595949.0,1356556.65,Retail
7975,Nail Plus,4787846.99,1595949.0,1356556.65,Retail
7976,Astro Dry Cleaners,4787846.99,1595949.0,1356556.65,Retail
7977,Isaac Apple Farm,4787846.99,1595949.0,1356556.65,Retail
7978,Jobby Wine & Liquor,4787846.99,1595949.0,1356556.65,Retail
7979,Luncheonette,4787846.99,1595949.0,1356556.65,Retail
7980,Asia Harbor,3534837.91,1178279.3,1001537.41,Accommodations/Food
7981,Mash Beauty Salon,4787846.99,1595949.0,1356556.65,Retail
7982,Amazing Grace CC Nail Spa,4787846.99,1595949.0,1356556.65,Retail
7983,Lin Hollywood Nail & Spa,4787846.99,1595949.0,1356556.65,Retail
7984,Apon Grocery,4787846.99,1595949.0,1356556.65,Retail
7985,Jaew Thai Cuisine,3534837.91,1178279.3,1001537.41,Accommodations/Food
7986,Kumon,1889854.62,629951.54,535458.81,Other Services
7987,City Drugs Pharmacy,5268371.04,1756123.68,1492705.13,Health/Social
7988,TSS Laundromat,4787846.99,1595949.0,1356556.65,Retail
7989,Serenity Cafe,3534837.91,1178279.3,1001537.41,Accommodations/Food
7990,Shaj Ghar,4787846.99,1595949.0,1356556.65,Retail
7991,The Hamilton Dog House,4787846.99,1595949.0,1356556.65,Retail
7992,Hamilton's,3534837.91,1178279.3,1001537.41,Accommodations/Food
7993,Mr. Tong,3534837.91,1178279.3,1001537.41,Accommodations/Food
7994,Quality Wash Center,4787846.99,1595949.0,1356556.65,Retail
7995,Windsor Coffee,3534837.91,1178279.3,1001537.41,Accommodations/Food
7996,Tangled NYC,1889854.62,629951.54,535458.81,Other Services
7997,Kathy's Gourmet Italian Ices,4787846.99,1595949.0,1356556.65,Retail
7998,Cozie's Pizzeria & Cafe,3534837.91,1178279.3,1001537.41,Accommodations/Food
7999,Neighborhood Deli & Grocery,4787846.99,1595949.0,1356556.65,Retail
8000,Le Paddock,3534837.91,1178279.3,1001537.41,Accommodations/Food
8001,All-Security Lock & Alarm,1889854.62,629951.54,535458.81,Other Services
8002,Bene Pizza,3534837.91,1178279.3,1001537.41,Accommodations/Food
8003,The Cat,3534837.91,1178279.3,1001537.41,Accommodations/Food
8004,Cena,3534837.91,1178279.3,1001537.41,Accommodations/Food
8005,Posters & Prints,4787846.99,1595949.0,1356556.65,Retail
8006,Terrace Coffee Shop,3534837.91,1178279.3,1001537.41,Accommodations/Food
8007,L&E Deli & Grocery,4787846.99,1595949.0,1356556.65,Retail
8008,DNA,3534837.91,1178279.3,1001537.41,Accommodations/Food
8009,Slice of Brooklyn,3534837.91,1178279.3,1001537.41,Accommodations/Food
8010,C & W Discount Store,4787846.99,1595949.0,1356556.65,Retail
8011,Gro Mex,4787846.99,1595949.0,1356556.65,Retail
8012,La Parada,3534837.91,1178279.3,1001537.41,Accommodations/Food
8013,Ocean Eats,3534837.91,1178279.3,1001537.41,Accommodations/Food
8014,D'Rosas,1889854.62,629951.54,535458.81,Other Services
8015,Yi To Hair Salon,1889854.62,629951.54,535458.81,Other Services
8016,Lamp Warehouse,1889854.62,629951.54,535458.81,Other Services
8017,G&S Gold & Silver,4787846.99,1595949.0,1356556.65,Retail
8018,Moda Lash,4787846.99,1595949.0,1356556.65,Retail
8019,Sunset Park Diner,3534837.91,1178279.3,1001537.41,Accommodations/Food
8020,Giovanni’s Brooklyn Eats,3534837.91,1178279.3,1001537.41,Accommodations/Food
8021,Doleh Supermarket,4787846.99,1595949.0,1356556.65,Retail
8022,Henry's Deli,4787846.99,1595949.0,1356556.65,Retail
8023,Elora's,3534837.91,1178279.3,1001537.41,Accommodations/Food
8024,Prospect Hardware,4787846.99,1595949.0,1356556.65,Retail
8025,Classic Rug Collection,1889854.62,629951.54,535458.81,Other Services
8026,Knead,1889854.62,629951.54,535458.81,Other Services
8027,Sam Deli & Grocery,4787846.99,1595949.0,1356556.65,Retail
8028,Eden Dry Cleaners & Tailoring,4787846.99,1595949.0,1356556.65,Retail
8029,Windsor Dentistry,5268371.04,1756123.68,1492705.13,Health/Social
8030,Brooklyn Hardware Supply Benjamin Moore,1889854.62,629951.54,535458.81,Other Services
8031,Fumi Brooklyn Hair Studio,1889854.62,629951.54,535458.81,Other Services
