id,name,avg_revenue,avg_bills
3075,Vencore Labs,769081.23,680392.92
3076,JCP&L,2206152.34,1351029.92
3077,High Point Solutions,741110.56,466087.46
3078,UBS,1296872.52,1213341.84
3079,Prometric,211777.77,143739.99
3080,Magnus Salon,2146279.52,1374751.14
3081,Latin Bistro,1819117.07,1106624.64
3082,Quality Automotive Co.,1062900.49,722762.18
3083,Rumson Therapeutic & Sports Massage Center,1016289.12,710122.06
3084,Bruce L. Throckmorton Esq.,4145738.96,3036358.62
3085,Kryston's Paint and Hardware,370061.63,324671.52
3086,Graceful Nail Spa 2,1701668.01,1562222.65
3087,Marrazzo's Thriftway,3175950.14,2303196.18
3088,Math Monkey,3538508.45,2978279.56
3089,Mellinger Sanders & Kartzman LLC,3060064.44,2157425.32
3090,Little Dog Brewing Company,542318.65,451209.12
3091,Vidalia y Quisqueya Deli & Grocery,684118.44,412584.01
3092,All Clean Cleaners,3441637.24,2732376.83
3093,Rising Lotus Holistic,4560293.94,3050096.51
3094,The Vanity Room Beauty Boutique,215441.93,174964.55
3095,Bravo,4168988.96,3897275.49
3096,Mastapeter Funel Home,3459822.07,2257968.23
3097,Ocean Mental Health Services,2209087.61,1823265.99
3098,La Meche Salon,1038979.35,970811.29
3099,Tronix Auto Sports,4077353.41,2881837.87
3100,Media Trends,2857121.32,2639702.4
3101,Interiors By Aleman,4344280.37,2991394.92
3102,The CoWorking Space,4751403.52,4347229.07
3103,Work and Play,4299946.68,2705281.21
3104,JuiceTank,4892943.78,4435141.15
3105,C3 Workplace,1488928.49,1102561.74
3106,Just Jersey,302574.37,259809.45
3107,Swiss Chalet Bakery,772043.44,728636.87
3108,Debs Auto Parts,4178057.44,3059353.81
3109,Unique Architectural Solutions,3962041.99,3753572.07
3110,Jerry's Artist Outlet,1800741.33,1519332.44
3111,Tomorrow's Treasures,81369.99,66025.93
3112,Sainmona Wine and Liquor,4982187.35,4175595.21
3113,west elm,3426424.79,3031100.38
3114,The Wine List of Summit,1555978.54,1329455.88
3115,Sandelands Eyet LLP Attorneys At Law,4805467.2,3588096.79
3116,Galloway Auto & Tire,2506866.07,2239449.83
3117,Chester's Pastry Pantry Bakery,1251754.89,1084240.33
3118,B&W Bakery,2298134.44,2061379.9
3119,Villas Country Liquor Store,971773.34,905944.69
3120,Eternal Etchings,3815238.64,2451910.79
3121,Bayside Eye Center,4700303.2,4449728.83
3122,Bayshore Laundry & Linen,3294094.18,3069659.37
3123,Adele's Jeweled Treasures,781718.08,501074.9
3124,NAPA Auto Parts - Genuine Parts Company,4181594.16,3940953.53
3125,Robinson's Deli & Produce,4169575.52,2966306.13
3126,Snippers Salon,4191891.87,2558258.11
3127,Anco Home Center,2424846.22,2119732.81
3128,The Studio Hair & Makeup,4915583.64,4598034.8
3129,Bayside Bakery,3455874.21,2539347.4
3130,Lucky 7 Gold & CONSIGNMENT,1079740.7,655163.99
3131,Game Star & Wireless,946022.17,582938.42
3132,Gaiss Market,1327316.62,1052487.41
3133,Ink Emporium,3961191.74,2762324.65
3134,Remax At the Shore,4563856.31,3562961.27
3135,Find's Furniture,4287219.15,3215361.28
3136,Barbara's Sea Shell Florist,1231406.94,833749.75
3137,Bayside Auto Repair,3311279.34,2616412.75
3138,R & H Auto Sales,3709944.98,3397962.06
3139,The Greeting Place,667673.32,484082.25
3140,Motorcycle Mall,58191.03,38106.95
3141,Aroma Di Napoli,953993.7,743020.01
3142,Havana's Cigar Vault,3909829.49,2549895.4
3143,Henry's Liquors,3756314.24,2381616.71
3144,New Jersey Motor Vehicle Commission - Paterson,2928564.27,2555430.84
3145,Wayne PTO Browse N Shop,4032684.54,3707705.67
3146,Grand Bazaar Food,3981347.58,3349501.17
3147,Habitat for Humanity ReStore,1969125.62,1432497.82
3148,Taida Orchids Inc,4151306.13,3698919.31
3149,Salvation Army Thrift Store,2884417.27,2097711.02
3150,Child Protection and Permanency,1021080.72,922661.56
3151,Eurica Home,3786621.13,3188148.88
3152,Elk Township Municipal Clerk,3252593.51,2016601.06
3153,Olive with a Twist,4315268.0,3799315.37
3154,Star Optical,1066535.5,932759.23
3155,Game Mania,4993101.63,4433268.36
3156,Pete Clark and Sons Auto Body,4350101.25,3105040.57
3157,S & R Mechanical Inc,3673699.61,2987445.55
3158,Lisa's Italian Deli,2744207.33,2075248.62
3159,E&J Discount Store,3985647.46,3508791.28
3160,Dominican Barber Shop,137179.28,108739.32
3161,Food Depot Supermarket,1643674.92,1232952.51
3162,"Virtual Endeavors, LLC",1473945.04,1182179.56
3163,The Pink Bunny Boutique,4239349.4,3096835.9
3164,CUMAC Community Closet,4037856.42,3309240.27
3165,Silk City Academy,4792865.88,3532505.06
3166,Paterson Adult & Continuing Education,4485903.29,4110904.19
3167,Laundry Warehouse,735375.44,638944.96
3168,Sunflower Organic Cleaners,3109835.64,2446278.58
3169,Lakeside Deli,2647998.96,2090203.05
3170,Santa's Beauty Hair Salon,4966189.5,3076427.67
3171,One Touch Bridal,872001.16,727503.48
3172,Science Building,4622484.14,2828866.6
3173,Professional Studies Building,4211319.02,3930556.1
3174,Gilligan Student Union Building,3273639.18,2287663.7
3175,Rossey Hall,1312446.03,949637.48
3176,Hepburn Hall,1595359.77,1376336.95
3177,Grossnickle Hall,3865905.36,3462483.37
3178,Fries Hall,3841465.33,3504758.66
3179,Vodra Hall,4683653.2,3013294.83
3180,Karnautsos Building,4777265.01,3852186.17
3181,Hohokus School of Trade and Technical Sciences (Building 5),198388.27,147742.2
3182,Season Pass Processing,304593.38,229751.27
3183,Hat Shop Madison,4538811.55,4177051.92
3184,Madison Vac,4332892.95,3775089.35
3185,Fast Lane,4975467.13,3467509.13
3186,Lucky 7 Deli,2761915.52,1985911.78
3187,Union Auto Body,2310332.17,1808178.12
3188,Union Beach Adult School,1362020.4,1217648.27
3189,Cuozzo Studio for Hair,2694372.7,1843144.91
3190,Beachwood Bicycles,3162388.79,2659703.13
3191,Ashley Furiture Homestore,1414928.78,978744.83
3192,Green Lea Florist,3506475.22,2439211.83
3193,Green Lea Garden Center,1023091.76,922024.53
3194,New Jersey Law & Public Safety Department,329263.26,252586.81
3195,New Jersey Department of Banking & Insurance,1498085.47,1187014.15
3196,Sparrow Wine & Liquor Co,1643355.04,1158048.86
3197,Heaven Spa,4697726.27,3971033.25
3198,East Coast Salon Services,4046646.66,3585665.96
3199,The Budding Artist,2789273.4,1700540.25
3200,Tous Les Jours,1461300.8,1321174.2
3201,Colonial Bakery,719090.85,504557.15
3202,Sorrento,2786444.53,2535505.49
3203,Longford Landscape,1548006.01,952186.46
3204,Longford Garden Center,880077.35,824660.63
3205,APLC - Associated Property Loss Consultants,652586.3,437836.56
3206,Lewis Sigler Institute,3661075.63,2415415.02
3207,Fredon School,3461389.8,2644617.31
3208,Chez Alice,3754146.51,2315552.74
3209,Miya Table & Home,1799880.41,1596578.58
3210,Thomas Sweet Chocolates,3555176.93,2834920.68
3211,Theunis Dey Elementary School,4435867.11,3385287.64
3212,Varsity Liquors,3842313.11,2822844.85
3213,Theo's Salon,4722373.81,2981062.09
3214,Nassau Street Seafood & Produce Co.,3465894.48,2534576.3
3215,Beauty Salon Barbershop,3228327.93,2027079.66
3216,Incogneeto,1979699.44,1246068.37
3217,Sport Clips,584534.34,483614.1
3218,Redelico's Paint & Decorating Center,4678108.88,3443490.56
3219,Day Spa,4911487.59,3591806.97
3220,Edge Learning Center,4543385.82,4086545.45
3221,Stickley Furniture,910445.03,793920.7
3222,Main Street Coin Shop,3232151.58,2774957.03
3223,Somerville Smoke Shop,2612995.11,1724324.9
3224,Path Liquors,3888249.84,3645233.22
3225,Wayne's Wash World II,3022716.48,2858271.85
3226,ABC Physical Theray,1311040.57,1214208.83
3227,TigerLabs,2389936.21,1526600.59
3228,Weidel Realtors,493410.06,305155.61
3229,Viburnum Designs,2407531.7,1594769.82
3230,Nearly New,3417891.78,2698494.31
3231,Cullen and Dykman LLP,4063214.62,3393217.42
3232,Berkshire Hathaway Fox & Roach,2245453.61,1926695.81
3233,Nassau Liquors Grape & Grain,3007831.81,2065587.37
3234,Greene Street,1387779.85,971422.56
3235,Eastern Relax,2022556.96,1612292.47
3236,Cosmo Bleu,2017687.78,1851907.5
3237,Christian Science Reading Room,287931.59,208547.92
3238,Shop the World,4286196.89,3236337.41
3239,Village Silver,1238369.17,938087.75
3240,J. McLaughlin,4524660.36,3256472.04
3241,Godfrey Fitzgerald Salon,1277340.37,1177938.36
3242,H1912,1889215.32,1347635.62
3243,Princeton Running Company,4969539.46,2992991.92
3244,Princeton University Store,3836418.9,2730618.26
3245,MacLean Insurance Agency,4686231.78,4028894.28
3246,Princeton Printer,4733528.99,3109159.9
3247,Polo Ralph Lauren,3486308.02,3275488.96
3248,Princeton University Art Musem Store,2970490.7,2425120.03
3249,Dandelion,3899113.62,2552025.35
3250,Lace Silhouettes Lingerie,754737.9,668181.31
3251,Olsson's Fine Foods,3708521.38,3305515.15
3252,Morgenthal Frederics,1028799.6,686797.49
3253,Lindt,4284884.35,3559365.09
3254,ToobyDoo,2803544.42,2032189.98
3255,Barbour,2316872.45,1782949.87
3256,bluemercury,4761671.13,3167067.59
3257,Paper Source,958446.24,705381.08
3258,Princeton Village Psychic,561453.83,476646.99
3259,Mandalay Trading Company,2870644.77,1992986.71
3260,House of Cupcakes,1906183.44,1167180.56
3261,A Little Taste of Cuba,219932.55,143549.72
3262,Morning Glory,2046179.88,1711091.81
3263,The Red Onion,1318659.02,869202.02
3264,Lululemon,2517491.15,1557285.75
3265,jane,1121075.37,838256.93
3266,Finance of America Mortgage,4682084.97,2925107.24
3267,Mike's Barbershop,4099679.74,3751828.93
3268,Salon Pure,4309164.4,3346475.47
3269,Princeton Corkscrew Wine Shop,3182429.69,2752258.22
3270,Princeton Entrepreneurial Hub,1074023.73,911888.74
3271,Schoenefeld Law Firm LLC,2401890.08,1651991.65
3272,Stockton Real Estate,428368.59,380231.95
3273,Nassau Place Barbers,4754394.76,3901296.31
3274,Callaway Henderson Sotheby's,1974900.78,1747582.36
3275,Princeton Nails,2863708.51,2576629.66
3276,Coldwell Banker,1560619.31,1132396.29
3277,Altour American Express,2541831.29,2199540.8
3278,TOTE,3076766.32,1954067.05
3279,The Pastry & Coffee Room,4332708.69,3549223.9
3280,Chelsea Crimper's,4197596.92,3889986.3
3281,Hinkson's,4832511.09,3334682.82
3282,Princeton Barber Shop,4694994.56,3339405.7
3283,The Little Chef,1348530.26,1184512.09
3284,Pristine Fine Dry Cleaning,3142838.74,2502180.84
3285,Princeton Heritage Real Estate,4959519.17,3251942.15
3286,Idilia's Prêt À Porter,4362977.4,3523930.96
3287,Pink Nails,4155310.95,3928428.9
3288,Thompson Land Management,351339.43,229057.52
3289,Hedy Shepard,2882133.49,2532186.84
3290,New York Camera,1650871.71,1303228.38
3291,Morford & Dodds Realty,1166389.4,770946.99
3292,Criterion Chocolates,549097.77,442456.81
3293,Nirvana,2692120.83,2212224.72
3294,All Good Things,4790636.03,3647167.99
3295,Five Dollar Shoe Store,1594499.4,1221033.37
3296,MJ Sportswear,3384381.07,2989731.81
3297,Monkey Trails,744093.56,695855.43
3298,Lakeside Family Haircutters,772439.33,464828.04
3299,Cleaner's Haven,4884781.18,4552172.95
3300,casa,3139672.51,1959398.11
3301,Microtech Computers-New Jersey Hights,710343.68,486386.01
3302,Royal Bagel & Deli,1181077.79,1086986.6
3303,Albazar,563884.44,401623.24
3304,South Moon Under,661620.27,492630.03
3305,Lacrosse Unlimited,2558926.72,2309336.66
3306,Oil & Vinegar,1436464.62,903608.77
3307,Parkland Cleaners,685764.16,531238.83
3308,Krauszer's Church Plaza Shop,3300773.44,2431019.18
3309,Tiziano Boutique,3077599.98,2600632.51
3310,Esthetica Salon,1291176.66,795523.02
3311,Montclair Antique Center,3175894.23,2096604.54
3312,Amanti Vino,4848894.07,3884815.97
3313,The Outdoor Store,3324559.19,2022100.21
3314,Rocklin Styling Opticians,2107487.19,1446594.89
3315,Gleek & Howard,4802065.65,4481744.42
3316,Cha Ma Gu Dao,4350518.56,3460294.79
3317,Java Love,1215555.75,1007478.27
3318,Comb Classic Barber Shop,4920658.96,2996513.67
3319,Merrit Fine Wine & Liquor,4974409.83,3383110.02
3320,Hip Chic,3122974.04,2833655.55
3321,Rocky's Crystals,2981155.94,1803352.74
3322,Power House Tattoo Co.,1054222.73,985913.65
3323,Eastern Gift,929617.32,827437.54
3324,The Wine Guys,3278957.67,2765720.97
3325,Just Kidding Around,4190719.56,3591291.28
3326,Romany Liquor Shop,4103103.17,2974213.64
3327,Parlor Hair Studio,2449736.14,1791225.89
3328,Montclair Book Center,3367742.57,2253568.51
3329,East Side Mags,2476209.2,1696857.07
3330,Red Star Paint,4249604.6,3747150.11
3331,Takeover,2115719.01,1432742.53
3332,Vsosa Grooming Bar,1704831.27,1144635.84
3333,Fume Cigar Shop,4123892.73,3445213.17
3334,Diamond Cycle,1333299.48,901823.74
3335,Pinot's Palette,1579820.96,1301291.22
3336,Inner Eye Boutique,3048253.88,1955129.58
3337,ProStock Auto Parts,2049541.4,1354776.73
3338,Bobbi Brown Studio,4921945.35,3905087.14
3339,John's Automotive,3075553.4,2728681.38
3340,Nordstrom Rack,4718089.45,3690226.68
3341,Floor & Decor,318809.22,273725.67
3342,K&G Fashion Superstore,4185946.49,3143060.15
3343,Anderson Insurance Agency,3466729.97,2777274.21
3344,M Color Unisex Beauty Salon,2185783.13,1909536.51
3345,Ely's Aquatic Farms,665642.66,575415.11
3346,Franks Auto Repair & Auto Body Inc.,4922743.15,4159709.15
3347,The Curchin Group,993362.04,816185.76
3348,Netwave Interactive Marketing Inc.,2302718.6,2083105.58
3349,Get A Rate,3581345.87,2329918.43
3350,Confections of A Rock$tar Bakery,4739946.19,3942217.27
3351,Rebel Supply Co.,554035.64,461441.08
3352,Interwoven,1122906.48,999159.45
3353,Footsteps in Paradise,3157418.98,1934289.36
3354,Red Moon life & home,3806542.39,3382634.74
3355,Glide Surf,158457.71,135525.55
3356,Purple Glaze Donuts,873926.27,763726.71
3357,Chop Chop Bang Bang,2114517.18,1458052.17
3358,Old Glory Tattoo Co.,3928956.68,3492247.67
3359,Asbury Park Academy of Dance,3270165.45,2105668.8
3360,Hold Fast,2412568.77,2047119.46
3361,Paranormal Books & Curiosities,2150167.65,1395512.48
3362,etc.,3571632.4,2757830.35
3363,Uncorked Wine Inspired Creations,117901.78,74740.65
3364,Foolish Ginger,4425153.83,2851082.67
3365,Fitness Lifestyles,4992400.4,3384497.42
3366,Russo Music,1491281.4,1381083.65
3367,Trading Post AP,591875.28,492444.72
3368,Kill Screen Games,3080990.8,2519457.04
3369,Groovy Graveyard,612578.74,472141.55
3370,Antique Emporium,2839351.25,1921839.19
3371,Lush Wines,4125734.66,3868447.34
3372,Shelter Home,1899999.79,1388661.28
3373,Asbury Park Music Foundation,757662.49,609631.8
3374,B Unique Clothing,4368514.14,2625416.72
3375,Heaven Art & Antiques,1276907.77,1104669.25
3376,Asbury Jewelery,3833719.15,3052482.13
3377,Old Mill Antique Mall,4582481.74,3031152.47
3378,21st Century Hughes-Riggs Realty,4375166.84,3790713.16
3379,Old General Store,465761.53,287658.04
3380,Sisters,3041744.22,2144300.55
3381,Gathering Room Interiors,93056.3,83819.53
3382,Chic Boutique,3365961.52,2891360.02
3383,Amazing Grace Resource Center,744032.93,483937.34
3384,Hollywood Grooming Mullica Hill,3443258.94,2519186.05
3385,Union Cycle Center,365808.44,266992.54
3386,ABC Super Store,58955.3,51504.58
3387,Loren's,4635497.37,3139676.25
3388,Uceda School English,168540.92,121434.97
3389,Zoni English,3713232.02,2408229.74
3390,Bud's Market,2345608.09,1672139.72
3391,sharkk,1062790.8,966625.42
3392,Red Feast Wine & Liquors,1743702.41,1130014.01
3393,RE/MAX of Brigantine,3456517.53,3065673.96
3394,Beach Tobacco Cigar & Convenience,2874432.29,2268331.07
3395,Dairy Delight,4516478.46,3887168.75
3396,Peebles,2923709.76,2760023.38
3397,Wildwood Dog Beach,244667.39,221185.23
3398,Max's Deli,2640320.51,1868735.76
3399,Packanack Bakery,2047395.81,1570149.0
3400,23 Shop,2945014.25,2558511.23
3401,OshKosh B'gosh,2213270.02,1719450.03
3402,Quicklane Tire & Auto Center,3189611.21,2681153.92
3403,Cabinets Direct USA,4610887.3,4138599.78
3404,23 Vape Lounge,2443197.93,1627389.99
3405,Pool Depot,3995586.25,2486026.81
3406,John's Hair Place,1379832.37,1061618.24
3407,1MobileBicycleShop,4455277.03,3541956.89
3408,Jersey Auto Body,537976.55,378374.77
3409,Dillon's Laundromat,3433726.32,3137545.25
3410,Red Rook Tattoo,3449888.77,2743165.43
3411,Camptown Coins & Collectibles,814102.56,711378.27
3412,Nizar's Tailor Shop,1865712.64,1398556.44
3413,Edible Arrangements,3324002.41,2184113.68
3414,Mimi Nails 2000,2394092.79,1604376.27
3415,Good Guy Vapes,3718662.58,3437438.42
3416,Juicy Deli,2147764.09,1901750.05
3417,Avenue Hair Cutters,4566489.98,2745892.87
3418,Mb Grocery,2366559.39,1917114.2
3419,Da Shop,1289349.4,899583.73
3420,Noypi Filipino-Asian Grocery,672256.85,597652.62
3421,Home Field Advantage Sporting Goods,2283920.51,1884465.42
3422,Charisma 7 Antiques,3158669.04,2148871.63
3423,Las Jocoteñas,1477180.21,1191348.16
3424,J&N Liquors,4836398.62,3607242.98
3425,Cherished Bridals,2543702.78,2111080.31
3426,Elite Supplement Center of Pompton Lakes,726646.76,646337.24
3427,The Closet Shopper,175304.04,157603.11
3428,La Placita Mixteca,3214016.3,2841555.43
3429,Zayna's Cuts for Kids,3775555.63,3451296.22
3430,Flipside Records,4980904.13,3778871.04
3431,Tom's Barber Shop,3216436.15,2741904.23
3432,Station 1 Books & Vinyl,3387235.83,2471536.61
3433,Empire Wine & Liquors,4572419.58,3323774.4
3434,Violet's Vintage Vault,3712186.45,2504059.17
3435,Tatiana's Tailor & Dry Cleaners,2250922.94,1525450.0
3436,Lakeland Laundromat,4825201.57,2907528.42
3437,A & Z Auto Body,2749054.05,2135951.04
3438,Just-A-Buck & Beyond,3018353.69,2513639.03
3439,Eden Salon and Nails,144448.97,124964.26
3440,The Paper Store,1795402.36,1359766.94
3441,Quick Stop Food Store,1549483.59,1138314.21
3442,T&T Auto,1507930.24,1360415.68
3443,Accurate Auto Care,4449243.81,3102521.24
3444,King Deli Mart,1636651.85,1260217.31
3445,A&P Wines & Spirits,2232719.04,1384515.37
3446,Lakeland Auto Parts,4935851.53,4359473.91
3447,Valentine Beauty Supply,4436267.21,2706694.95
3448,King Locksmith,337605.03,259411.31
3449,DC Superheroes Store,845880.62,511207.96
3450,The Flash Pass Headquarters,3565084.6,3234556.74
3451,Funhouse Gifts,4464833.81,3733168.55
3452,Rock & Mineral Shop,3988145.35,3724440.9
3453,Junke & Treasures,4837895.13,4063534.92
3454,New Fashion,3853119.58,2736151.15
3455,NJ Waves,2117718.2,1877597.15
3456,Wild Planet,3650403.39,3032678.38
3457,Liquor Mart,2210189.33,1904246.31
3458,Winterwood Gift & Christmas Shoppe,2625255.75,1878670.28
3459,Ocean World Gift,2944055.28,2788394.53
3460,Seagull Sportswear,803266.26,510907.02
3461,Eastside Surf Shop,3414739.37,2093412.54
3462,Sunglass Emporium,3974169.04,3548911.88
3463,Antique Images,1541243.09,1169959.35
3464,Magic Seashells,1097726.76,958611.12
3465,Ayces Printing,1958142.23,1759042.91
3466,Five Mile Marketplace,982600.61,787066.65
3467,Fortune Sportswear,2067026.65,1387908.96
3468,Fantasy Airbrush,174669.71,147467.33
3469,Bautista's Grocery,2125497.87,2014693.92
3470,French American Academy - Morris Plains Campus,2800986.81,1956105.65
3471,Noah's Bagels,90166.32,64597.84
3472,Bloomers,4423442.71,3329790.32
3473,Steel's Fudge,2525902.09,2140884.79
3474,Fralinger's Salt Water Taffy,761516.46,652351.47
3475,Shivers Salt Water Taffy & Fudge,1517225.45,1354254.79
3476,Supreme Team Barbershop,2827116.73,2583811.88
3477,Nails by Sarah,2602464.51,1764938.39
3478,Gem's House of Bagels,4272870.4,2630254.8
3479,Cherry Grove Farm Store,3763710.37,2677437.27
3480,Madison's Bakery,2436012.39,1792109.25
3481,New Jersey Transit,1514309.19,1374190.88
3482,Express Newark,616166.13,458900.7
3483,Great Oaks Legacy Downtown Middle School,827775.39,742123.53
3484,KIPP Spark Academy,4740047.56,3745418.56
3485,NJPAC Center for Arts Education,454323.86,280947.8
3486,Audible.com,4885671.26,3463409.53
3487,The Cloak & Dagger,3489680.08,3020076.87
3488,West Marine,776371.51,716435.86
3489,True World Tackle (okuma),3884020.09,2666184.24
3490,Halsey Cleaners,2379445.75,2127933.2
3491,White Star Nails,3799798.3,3075885.1
3492,Halsey News,2329141.7,2076258.38
3493,Hanna's Deli,2216488.12,1652140.06
3494,Park Place News,4015519.26,3388010.38
3495,Reynolds Garden Shop,853641.73,606030.55
3496,Reynolds Floral Market,3601364.75,2705741.4
3497,Kline Brothers Landscaping Center,2814166.99,1952712.99
3498,Hua Kong Health Center,1856830.63,1168704.28
3499,Pets Plus,737332.15,500886.08
3500,Home Front,2565728.37,1862784.87
3501,Allstate,1931500.95,1369259.17
3502,Bathroom Remodeling In New Jersey,2894915.02,2276009.59
3503,Design Within Reach,332054.82,282726.87
3504,Style Rocket,3849334.24,3258019.6
3505,Sols,4144900.28,3321158.65
3506,Pennington Quality Market,750124.37,578471.24
3507,Borough Barbers,597423.4,413178.14
3508,ShopeRite Wines & Spirits,3012319.24,2480490.81
3509,Music & Arts,4502942.92,4215899.48
3510,Wren Kitchens,2648464.36,1892954.28
3511,Halter's Cycles,4710815.67,3011880.55
3512,Number 17 Elementary School,607271.59,564340.14
3513,Refresh & Co.,1928735.16,1707015.61
3514,Stephanie's Salon & Day Spa,3294357.0,2554547.91
3515,Cumberland Regional,2171121.95,1441790.3
3516,Action Auto World,3145972.91,1996986.99
3517,The Mall At Voorhees Town Center,3182622.21,2133154.92
3518,Mallins Fudge,1187987.02,1040421.78
3519,Rapunzels,2481485.93,2188667.96
3520,St. George's Beach Outlet,1052413.62,993747.95
3521,Splash Zone Tickets,2594975.48,2396673.3
3522,Blue Moon Acres Farm Store,547567.03,371525.19
3523,Clikz Digital,2593013.35,1809506.73
3524,Wine Vista,2377569.01,1441038.3
3525,Once Bitten Donuts,1961121.81,1774427.86
3526,Krauzer's,2121109.46,1554875.89
3527,Truck-Repair & Collision inc,3229025.64,2252811.87
3528,Central Farmers Market,1884460.31,1597034.93
3529,Village Garage,4597684.29,3485147.58
3530,WICK IT Candle Factory,1390495.3,986263.32
3531,Aqui Market,1777887.11,1163510.89
3532,"Petrelli Previtera Schimmel, LLC",4804084.37,3534391.49
3533,Value City Furniture,4940251.95,3441708.18
3534,A Harry Moore School,3702804.59,2261146.65
3535,The Academy I Middle School,1491367.79,1230600.48
3536,Towne Delicatessen,1057640.68,1003143.33
3537,Luxe Limo Service,2073288.03,1263477.1
3538,"Hanover Wine, Liquor & Beer",4161909.95,3397354.37
3539,IRS,314294.49,252971.36
3540,Dyson Service Center,1942030.26,1204938.71
3541,Pet Valu,428827.62,396122.35
3542,Küche + Cucina,3082091.83,2436908.17
3543,The Dance Bag,165957.72,109951.91
3544,Bambi Baby,1719145.84,1401553.04
3545,Scuba Learning Center,2208177.14,2087090.12
3546,L.L.Bean,3938410.96,2953213.13
3547,Leslie's Pool Supplies,2512832.36,1914823.15
3548,WindowRama,316960.3,210286.09
3549,Prestige Collision Center,3720203.26,2448583.93
3550,The Ridgewood Conservatory,1653995.26,1196547.0
3551,Stephen Corn Furs,4544934.32,3962177.65
3552,Penske Truck Rental,1045165.15,946310.52
3553,Farmers Insurance,4197355.94,3315483.57
3554,Jennifer Furniture,4786477.35,4095241.21
3555,Fortunoff Backyard Store,2913416.2,2649224.85
3556,Eco Dreams,146541.93,104278.66
3557,Capitol Lighting,2112403.5,1741802.17
3558,Tomasella Furniture,2353378.83,1446725.9
3559,Globe Shoes,2989730.32,2196851.54
3560,Bazaar Rugs & Home,2060385.4,1400716.45
3561,Signature Detailing New Jersey,1956947.19,1273447.92
3562,Kids' Consignments,1342382.81,1001069.96
3563,Marc Anthony Full Service Salon,3085713.92,2629954.59
3564,National Wholesale Liquidators,1676110.13,1223170.87
3565,Philippine Bread House,4424185.34,3984587.81
3566,American Flyers,4961812.23,3664150.37
3567,WHQ,3200686.15,2877199.33
3568,Dorrance,443104.03,286721.53
3569,R&D,409646.12,310772.49
3570,Tech Center,2878946.84,1759826.81
3571,Building 81,527475.11,462322.3
3572,Pilot Plant,642534.16,430119.21
3573,CEC,656026.48,479242.38
3574,BB&Z Auto Repair,1751266.64,1271401.85
3575,Green Life Market,998652.56,835124.39
3576,Roserne's Wines & Liquor,4898193.47,3238865.46
3577,Riombolo,3089927.16,2557138.94
3578,Chatham Cleaners,3277220.78,2676257.61
3579,Buy Rite Liquor,2352249.38,2067526.15
3580,Windsor Preparatory High School,768831.28,705216.65
3581,Beach Trend,3027219.41,2328932.24
3582,C Club,3558452.78,2856917.13
3583,Boardwalk Gift Shop,1631398.07,1270952.06
3584,The Beef Jerky Outlet,1045121.13,693851.02
3585,Hot Topic,1129259.77,971727.76
3586,Lacoste Boutique,4982171.16,3607201.39
3587,Jockey Outlet,2815931.36,2341549.35
3588,U.S. Polo Assn. Outlet,3545117.47,2529724.33
3589,Bass Factory Outlet,4673656.26,2899162.03
3590,Under Armour Factory House,1064254.44,880452.45
3591,DKNY,2615225.33,1860046.59
3592,Reebok Outlet,3097749.12,2433714.38
3593,Golf & Repair,815784.39,753482.73
3594,PC Repair Laptop Screen Replacement,1378368.83,1163646.5
3595,Woof Gang Bakery & Grooming,2856869.34,2451387.53
3596,Em Nails & Spa,835679.28,512181.24
3597,Speedy Mart,2312559.8,1600600.63
3598,Liberty Mutual Insurance,2305192.53,1407179.78
3599,La Bonbonniere Bake Shoppes,2416688.09,1925778.15
3600,Kettleman's Bagels,338882.18,239617.9
3601,Luxi Nail & Spa II,2550118.52,1661576.8
3602,Quality Cleaners,878759.59,648546.8
3603,Melissa DeSantis Real Estate Experts @ Remax Central,4326466.13,3409838.42
3604,Union County Charter school,4951172.98,3976343.42
3605,Marilyns Hair Design,533861.44,467661.17
3606,Bagel Chateau,3471382.78,2325535.6
3607,Morrissey's Auto Repair,4521217.44,2805767.31
3608,Craftsman Karl,3757272.96,3309348.78
3609,Master Memorials,1350196.82,1133624.8
3610,Yash Liquors,901162.08,612157.65
3611,Mullica Hill Floral Company,916343.28,717592.95
3612,Deluxe Nail & Spa 2,3526160.25,3021027.81
3613,Brakes On The Go,1914438.92,1402924.65
3614,Miracle Lash,1392396.04,892069.57
3615,5 Star Catering,3230244.64,2806204.61
3616,Williams Lamps,822575.59,777648.92
3617,Baby Gap,3214327.81,2399446.39
3618,Gap Kids,4618959.83,3874965.33
3619,Ambience Boutique,3377986.37,2083190.54
3620,Mercat,4666468.84,3151498.31
3621,Express,307644.57,205528.37
3622,Loft,1414096.86,995923.2
3623,LensCrafters,3106510.4,2037653.01
3624,True Food of Edgewater,4413734.94,3932700.18
3625,JJ Eyelashes,2041235.98,1732571.2
3626,Metromix,3116049.31,1952627.97
3627,Cookie Cutters Haircuts For Kids,2718253.63,2157665.6
3628,ShopRite Wines & Spirits,2613867.89,2184061.91
3629,Jewelry Alain & Co.,3890313.94,3568791.82
3630,Schumacher Insurance Agency,343487.91,271337.64
3631,Village Office Supply,2723733.92,2337836.97
3632,Bristol-Myers Squibb,1810712.11,1610025.81
3633,Pellettieri Rabstein & Altman,1016087.87,621974.75
3634,Johnson Fittness & Wellness Store,4505407.99,2958873.57
3635,Hand & Stone Massage and Facial Spa,2040656.27,1338474.38
3636,School of Rock,2154746.15,1429044.05
